,name,last_name,first_name,Team,Average,Price,Pos,id
151,Fabian Delph,Delph,Fabian,EVE,0.4,5.3,D,205
152,Lewis Gibson,Gibson,Lewis,EVE,0.0,4.3,D,477
153,Mason Holgate,Holgate,Mason,EVE,2.3,4.4,D,478
154,Djibril Sidibe,Sidibe,Djibril,EVE,1.8,5.1,D,511
155,Cuco Martina,Cuco Martina,,EVE,0.0,4.0,D,605
156,Pereira,Pereira,,LEI,4.4,6.3,D,159
157,Benjamin Chilwell,Chilwell,Benjamin,LEI,4.1,5.6,D,161
158,Jonny Evans,Evans,Jonny,LEI,3.6,5.2,D,162
159,Christian Fuchs,Fuchs,Christian,LEI,0.4,4.2,D,163
160,Caglar Soyuncu,Soyuncu,Caglar,LEI,3.5,5.0,D,164
161,Wes Morgan,Morgan,Wes,LEI,0.2,4.1,D,165
162,Ryan Bennett,Bennett,Ryan,LEI,0.4,4.8,D,404
163,James Justin,Justin,James,LEI,0.1,4.7,D,433
164,Filip Benkovic,Benkovic,Filip,LEI,0.0,3.9,D,597
165,Andrew Robertson,Robertson,Andrew,LIV,5.8,7.0,D,181
166,Trent Alexander-Arnold,Alexander-Arnold,Trent,LIV,7.4,7.8,D,182
167,Virgil van Dijk,van Dijk,Virgil,LIV,5.6,6.6,D,183
168,Joseph Gomez,Gomez,Joseph,LIV,4.6,5.3,D,184
169,Joel Matip,Matip,Joel,LIV,0.7,5.2,D,185
170,Dejan Lovren,Lovren,Dejan,LIV,0.3,5.3,D,186
171,Neco Williams,Williams,Neco,LIV,0.0,4.0,D,575
172,Nathaniel Phillips,Phillips,Nathaniel,LIV,0.0,4.0,D,589
173,Ki-Jana Hoever,Hoever,Ki-Jana,LIV,0.0,4.0,D,0
174,Aymeric Laporte,Laporte,Aymeric,MCI,0.3,6.3,D,202
175,Kyle Walker,Walker,Kyle,MCI,3.6,5.7,D,203
176,Benjamin Mendy,Mendy,Benjamin,MCI,3.9,5.5,D,204
177,Oleksandr Zinchenko,Zinchenko,Oleksandr,MCI,0.6,5.2,D,206
178,John Stones,Stones,John,MCI,1.5,5.3,D,207
179,Nicolas Otamendi,Otamendi,Nicolas,MCI,3.8,5.0,D,208
180,Danilo,Danilo,,MCI,0.0,5.0,D,209
181,Angelino,Angelino,,MCI,0.0,4.7,D,197
182,Joao Pedro Cavaco Cancelo,Cancelo,Joao Pedro Cavaco,MCI,0.5,5.2,D,518
183,Eric Garcia,Garcia,Eric,MCI,0.2,4.5,D,544
184,Aaron Wan-Bissaka,Wan-Bissaka,Aaron,MUN,2.4,5.3,D,122
185,Harry Maguire,Maguire,Harry,MUN,2.3,5.3,D,160
186,Chris Smalling,Smalling,Chris,MUN,0.0,5.2,D,223
187,Ashley Young,Young,Ashley,MUN,0.0,5.4,D,224
188,Victor Lindelof,Lindelof,Victor,MUN,2.4,5.3,D,225
189,Luke Shaw,Shaw,Luke,MUN,1.9,5.4,D,226
190,Marcos Rojo,Rojo,Marcos,MUN,0.0,4.8,D,227
191,Eric Bailly,Bailly,Eric,MUN,0.1,4.9,D,228
192,Dalot,Dalot,,MUN,0.1,4.9,D,229
