last_name,first_name,Team,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Duffy, Shane,BHA,0.6,0.6,0.6,0.6,0.0,0.4,0.9,0.5,0.6,0.5,0.8,0.6,0.7,0.6,0.6,0.6,1.3,0.7,0.6,0.7,£4.8,0.125,0.125,0.083,0.104,0.104,0.125,0.125,0.125,0.146,0.146
Montoya, Martín,BHA,1.6,1.6,1.9,1.8,0.0,1.2,2.6,1.5,2.0,1.6,2.4,1.8,2.0,1.8,1.8,1.8,3.3,2.0,1.6,1.9,£4.4,0.364,0.409,0.273,0.341,0.364,0.409,0.409,0.409,0.455,0.432
Bernardo,,BHA,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,£4.3,0.070,0.070,0.047,0.047,0.047,0.047,0.070,0.070,0.070,0.070
Balogun, Leon,BHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bong, Gaëtan,BHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dunk, Lewis,BHA,2.5,2.5,3.0,2.8,0.0,1.8,3.9,2.4,3.1,2.5,3.6,2.7,3.1,2.7,2.8,2.8,4.7,3.0,2.5,2.9,£4.8,0.521,0.583,0.375,0.500,0.521,0.563,0.563,0.583,0.625,0.604
Clarke, Matthew,BHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Burn, Dan,BHA,1.3,1.3,1.6,1.5,0.0,1.0,2.2,1.3,1.6,1.3,1.9,1.4,1.6,1.5,1.4,1.5,2.7,1.6,1.3,1.6,£4.5,0.289,0.333,0.222,0.289,0.289,0.311,0.333,0.333,0.356,0.356
Webster, Adam,BHA,2.0,2.0,2.4,2.2,0.0,1.5,3.2,1.9,2.5,2.0,3.0,2.2,2.6,2.2,2.3,2.2,4.0,2.4,2.0,2.4,£4.4,0.455,0.500,0.341,0.432,0.455,0.500,0.500,0.500,0.545,0.545
Baluta, Tudor,BHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
