last_name,first_name,Team,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Amadou, Ibrahim,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Duda, Ondrej,NOR,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£4.8,0.063,0.063,0.042,0.042,0.042,0.042,0.063,0.063,0.063,0.063
Rupp, Lukas,NOR,0.2,0.2,0.2,0.2,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,£4.5,0.044,0.044,0.022,0.044,0.044,0.044,0.044,0.044,0.044,0.044
Duffy, Mark,SHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fleck, John,SHU,4.1,4.1,3.8,4.0,0.0,2.6,3.4,2.8,3.8,3.0,4.1,3.2,3.3,3.2,3.1,3.2,4.2,3.3,4.2,3.4,£5.0,0.820,0.800,0.520,0.560,0.600,0.640,0.640,0.640,0.660,0.680
Norwood, Oliver,SHU,2.4,2.4,2.2,2.3,0.0,1.5,2.0,1.6,2.3,1.8,2.4,1.9,1.9,1.9,1.8,1.9,2.5,1.9,2.5,2.0,£4.9,0.490,0.469,0.306,0.327,0.367,0.388,0.388,0.388,0.388,0.408
Freeman, Luke,SHU,0.6,0.6,0.6,0.6,0.0,0.4,0.6,0.4,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.7,0.5,0.7,0.6,£5.1,0.118,0.118,0.078,0.078,0.098,0.098,0.098,0.098,0.098,0.118
Callum Robinson,,SHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Morrison, Ravel,SHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Osborn, Ben,SHU,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,£4.7,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
Bešić, Muhamed,SHU,0.2,0.2,0.2,0.2,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,£4.4,0.045,0.045,0.023,0.045,0.045,0.045,0.045,0.045,0.045,0.045
Rodwell, Jack,SHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Berge, Sander,SHU,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,£4.9,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020
Redmond, Nathan,SOU,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.7,1.6,0.9,2.5,1.1,2.2,1.3,2.7,1.5,2.9,1.6,3.3,1.8,£6.2,0.000,0.000,0.000,0.113,0.145,0.177,0.210,0.242,0.258,0.290
Ward-Prowse, James,SOU,3.5,3.5,2.7,3.1,0.0,2.1,3.0,2.3,1.8,2.2,2.8,2.3,2.5,2.3,3.0,2.4,3.2,2.5,3.6,2.6,£5.7,0.614,0.544,0.368,0.404,0.386,0.404,0.404,0.421,0.439,0.456
Elyounoussi, Mohamed,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Armstrong, Stuart,SOU,0.0,0.0,1.3,0.6,0.0,0.4,1.5,0.7,1.0,0.8,1.4,0.9,1.2,0.9,1.5,1.0,1.6,1.1,1.9,1.1,£5.2,0.000,0.115,0.077,0.135,0.154,0.173,0.173,0.192,0.212,0.212
Lemina, Mario,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Højbjerg, Pierre-Emile,SOU,2.3,2.3,1.7,2.0,0.0,1.3,1.9,1.5,1.2,1.4,1.8,1.5,1.5,1.5,1.9,1.5,2.0,1.6,2.4,1.7,£4.8,0.479,0.417,0.271,0.313,0.292,0.313,0.313,0.313,0.333,0.354
