last_name,first_name,Team,26,Average,27,Average,28,Average,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Jesus,,MCI,5.1,5.1,4.1,4.6,0.0,3.1,4.5,3.4,4.9,3.7,4.8,3.9,3.8,3.9,5.7,4.1,4.5,4.2,4.5,4.2,5.2,4.3,4.5,4.3,6.0,4.4,£9.5,0.537,0.484,0.326,0.358,0.389,0.411,0.411,0.432,0.442,0.442,0.453,0.453,0.463
Ederson,,MCI,3.7,3.7,2.6,3.2,0.0,2.1,2.4,2.2,2.5,2.2,2.8,2.3,2.8,2.4,2.6,2.4,3.9,2.6,2.7,2.6,2.9,2.6,2.5,2.6,3.3,2.7,£6.0,0.617,0.533,0.350,0.367,0.367,0.383,0.400,0.400,0.433,0.433,0.433,0.433,0.450
Bravo, Claudio,MCI,0.2,0.2,0.2,0.2,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,£4.7,0.043,0.043,0.021,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043
Sterling, Raheem,MCI,0.0,0.0,4.6,2.3,0.0,1.5,4.7,2.3,6.2,3.1,4.9,3.4,4.2,3.5,6.3,3.9,6.5,4.2,5.2,4.3,6.3,4.4,5.6,4.5,5.9,4.6,£11.7,0.000,0.197,0.128,0.197,0.265,0.291,0.299,0.333,0.359,0.368,0.376,0.385,0.393
De Bruyne, Kevin,MCI,8.2,8.2,7.1,7.6,0.0,5.1,7.3,5.6,9.2,6.4,7.5,6.6,6.6,6.6,9.3,6.9,9.5,7.2,8.0,7.3,9.3,7.5,8.5,7.5,8.8,7.6,£10.8,0.759,0.704,0.472,0.519,0.593,0.611,0.611,0.639,0.667,0.676,0.694,0.694,0.704
Sané, Leroy,MCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£9.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mahrez, Riyad,MCI,4.6,4.6,3.9,4.2,0.0,2.8,4.0,3.1,5.4,3.6,4.1,3.7,3.5,3.6,5.4,3.9,5.6,4.1,4.5,4.1,5.5,4.2,4.8,4.3,5.0,4.3,£8.6,0.535,0.488,0.326,0.360,0.419,0.430,0.419,0.453,0.477,0.477,0.488,0.500,0.500
Bernardo Silva,,MCI,2.5,2.5,2.1,2.3,0.0,1.5,2.2,1.7,3.1,2.0,2.2,2.0,1.9,2.0,3.1,2.1,3.2,2.3,2.4,2.3,3.1,2.3,2.7,2.4,2.8,2.4,£7.8,0.321,0.295,0.192,0.218,0.256,0.256,0.256,0.269,0.295,0.295,0.295,0.308,0.308
David Silva,,MCI,3.1,3.1,2.6,2.8,0.0,1.9,2.7,2.1,3.7,2.4,2.8,2.5,2.3,2.5,3.7,2.6,3.9,2.8,3.0,2.8,3.8,2.9,3.3,2.9,3.5,3.0,£7.4,0.419,0.378,0.257,0.284,0.324,0.338,0.338,0.351,0.378,0.378,0.392,0.392,0.405
Foden, Phil,MCI,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£5.1,0.059,0.059,0.039,0.039,0.039,0.039,0.059,0.059,0.059,0.059,0.059,0.059,0.059
Fernandinho,,MCI,1.2,1.2,1.0,1.1,0.0,0.7,1.0,0.8,1.5,0.9,1.0,1.0,1.0,1.0,1.5,1.0,1.6,1.1,1.1,1.1,1.5,1.1,1.2,1.1,1.3,1.1,£5.2,0.231,0.212,0.135,0.154,0.173,0.192,0.192,0.192,0.212,0.212,0.212,0.212,0.212
Gündogan, Ilkay,MCI,1.1,1.1,0.9,1.0,0.0,0.7,0.9,0.7,1.4,0.9,0.9,0.9,0.9,0.9,1.4,0.9,1.5,1.0,1.1,1.0,1.4,1.0,1.2,1.1,1.3,1.1,£5.2,0.212,0.192,0.135,0.135,0.173,0.173,0.173,0.173,0.192,0.192,0.192,0.212,0.212
Angeliño,,MCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rodrigo,,MCI,2.0,2.0,1.6,1.8,0.0,1.2,1.7,1.3,2.4,1.5,1.7,1.6,1.4,1.5,2.4,1.6,2.5,1.7,1.9,1.8,2.5,1.8,2.1,1.8,2.2,1.9,£5.4,0.370,0.333,0.222,0.241,0.278,0.296,0.278,0.296,0.315,0.333,0.333,0.333,0.352
Cancelo, João Pedro Cavaco,MCI,0.7,0.7,0.5,0.6,0.0,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,£5.2,0.135,0.115,0.077,0.077,0.077,0.077,0.096,0.096,0.096,0.096,0.096,0.096,0.096
Garcia, Eric,MCI,0.2,0.2,0.2,0.2,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,£4.5,0.044,0.044,0.022,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044
Carson, Scott,MCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Wan-Bissaka, Aaron,MUN,2.0,2.0,2.8,2.4,2.0,2.3,2.5,2.3,2.4,2.3,2.5,2.4,1.8,2.3,2.8,2.4,2.6,2.4,2.1,2.4,2.0,2.3,3.5,2.4,1.8,2.4,£5.3,0.377,0.453,0.434,0.434,0.434,0.453,0.434,0.453,0.453,0.453,0.434,0.453,0.453
Maguire, Harry,MUN,1.7,1.7,2.5,2.1,1.7,2.0,2.2,2.0,2.1,2.0,2.2,2.1,1.6,2.0,2.5,2.1,2.3,2.1,1.9,2.1,1.8,2.0,3.2,2.1,1.5,2.1,£5.2,0.327,0.404,0.385,0.385,0.385,0.404,0.385,0.404,0.404,0.404,0.385,0.404,0.404
Smalling, Chris,MUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Young, Ashley,MUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lindelöf, Victor,MUN,2.0,2.0,2.8,2.4,2.0,2.3,2.5,2.3,2.4,2.3,2.5,2.4,1.8,2.3,2.8,2.4,2.6,2.4,2.1,2.4,2.0,2.3,3.5,2.4,1.8,2.4,£5.3,0.377,0.453,0.434,0.434,0.434,0.453,0.434,0.453,0.453,0.453,0.434,0.453,0.453
